@relation 'CR17filtered-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.instance.Resample-S1-Z7.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z66.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-3,5,7,9-10,12-19'

@attribute Description {'DOMESTIC BATTERY SIMPLE','FINANCIAL IDENTITY THEFT OVER $ 300','HARASSMENT BY ELECTRONIC MEANS','SELL/GIVE/DEL LIQUOR TO MINOR','FROM BUILDING','OVER $500','TO LAND',SIMPLE,'TO VEHICLE','TELEPHONE THREAT','FORCIBLE ENTRY','FINANCIAL IDENTITY THEFT $300 AND UNDER','OTHER OFFENSE','TO PROPERTY','$500 AND UNDER',POCKET-PICKING,'COUNTERFEIT CHECK','AGGRAVATED: OTHER DANG WEAPON','AGGRAVATED: OTHER','AGG PRO.EMP:KNIFE/CUTTING INST','CHILD ABDUCTION','COMPUTER FRAUD','OTHER VEHICLE OFFENSE',AUTOMOBILE,'OTHER CRIME INVOLVING PROPERTY','TO CITY OF CHICAGO PROPERTY','STRONGARM - NO WEAPON','UNLAWFUL ENTRY','HARASSMENT BY TELEPHONE','AGGRAVATED: HANDGUN','ARMED: HANDGUN','ILLEGAL USE CASH CARD','ENDANGERING LIFE/HEALTH CHILD','TRUCK, BUS, MOTOR HOME','RETAIL THEFT','AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST','POSS: AMPHETAMINES','POSS: CANNABIS 30GMS OR LESS','PAROLE VIOLATION','SEX OFFENDER: FAIL TO REGISTER','AGGRAVATED:KNIFE/CUTTING INSTR','FALSE/STOLEN/ALTERED TRP','VIOLATE ORDER OF PROTECTION','THEFT OF LABOR/SERVICES','SOLICIT ON PUBLIC WAY','AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','FALSE POLICE REPORT','UNLAWFUL USE HANDGUN',PREDATORY,'FRAUD OR CONFIDENCE GAME','MANU/DELIVER: HEROIN (WHITE)','POSS: HEROIN(WHITE)',MANU/DELIVER:CRACK,'FOUND SUSPECT NARCOTICS','VEHICULAR HIJACKING',NON-AGGRAVATED,'MANU/DEL:CANNABIS 10GM OR LESS','CRIMINAL DEFACEMENT','FIRST DEGREE MURDER','CREDIT CARD FRAUD','ATTEMPT THEFT','UNLAWFUL POSS OF HANDGUN','SOLICIT NARCOTICS ON PUBLICWAY','ARMED:KNIFE/CUTTING INSTRUMENT','POSS: COCAINE','POSS: CRACK','OBSTRUCTING IDENTIFICATION','VEHICLE TITLE/REG OFFENSE',AGGRAVATED,'MANU/DEL:CANNABIS OVER 10 GMS','AGGRAVATED PO: OTHER DANG WEAP','OTHER VIOLATION',OTHER,'MANU/DELIVER: HEROIN(BRN/TAN)','GUN OFFENDER: DUTY TO REGISTER','UNLAWFUL USE OTHER FIREARM','ATTEMPT: ARMED-HANDGUN','RECKLESS CONDUCT','POSS: SYNTHETIC DRUGS','PROHIBITED PLACES','ATTEMPT FORCIBLE ENTRY','POSS: CANNABIS MORE THAN 30GMS','AGGRAVATED VEHICULAR HIJACKING','TO STATE SUP LAND','SEX OFFENDER: FAIL REG NEW ADD','POSS: HALLUCINOGENS',PURSE-SNATCHING,'AGG CRIMINAL SEXUAL ABUSE','BY FIRE','TO RESIDENCE','RESIST/OBSTRUCT/DISARM OFFICER','CALL OPERATION','CHILD ABUSE','THEFT OF LOST/MISLAID PROP','BOGUS CHECK','OTHER CRIME AGAINST PERSON','ATT: AUTOMOBILE','AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY','UNAUTHORIZED VIDEOTAPING','ARMED: OTHER DANGEROUS WEAPON','CYCLE, SCOOTER, BIKE NO VIN','LICENSE VIOLATION','ABUSE/NEGLECT: CARE FACILITY','POSS: PCP','GUN OFFENDER: ANNUAL REGISTRATION','AGGRAVATED FINANCIAL IDENTITY THEFT','POSS: BARBITUATES','THEFT/RECOVERY: TRUCK,BUS,MHOME','HOME INVASION','AGG SEX ASSLT OF CHILD FAM MBR','AGG PO HANDS NO/MIN INJURY','ATTEMPT: STRONGARM-NO WEAPON','AGG PRO.EMP: HANDGUN','THEFT/RECOVERY: AUTOMOBILE','CHILD ABDUCTION/STRANGER','CYCLE, SCOOTER, BIKE W-VIN','GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION','PROBATION VIOLATION','POSSESSION OF BURGLARY TOOLS','ATT CRIM SEXUAL ABUSE','PRO EMP HANDS NO/MIN INJURY','UNLAWFUL RESTRAINT','ARSONIST: FAIL TO REGISTER NEW ADDRESS','AGG CRIM SEX ABUSE FAM MEMBER','OBSTRUCTING JUSTICE',GAME/DICE,'OTHER WEAPONS VIOLATION','POSS: HEROIN(BRN/TAN)',INTIMIDATION,'RECKLESS FIREARM DISCHARGE',FORGERY,'COUNTERFEITING DOCUMENT','AGGRAVATED OF A CHILD','OTHER PROSTITUTION OFFENSE','AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM','POSS FIREARM/AMMO:NO FOID CARD','LIQUOR LICENSE VIOLATION','OBSTRUCTING SERVICE','POSSESSION OF DRUG EQUIPMENT','ATTEMPT: ARMED-OTHER DANG WEAP','ATTEMPT - FINANCIAL IDENTITY THEFT','CRIMINAL SEXUAL ABUSE','FINAN EXPLOIT-ELDERLY/DISABLED','ATTEMPT NON-AGGRAVATED','POSS: METHAMPHETAMINES','AGG: HANDS/FIST/FEET NO/MINOR INJURY','ATTEMPT: ARMED-OTHER FIREARM','ARMED: OTHER FIREARM','TO STATE SUP PROP','PUBLIC INDECENCY','SEX ASSLT OF CHILD BY FAM MBR','SEXUAL EXPLOITATION OF A CHILD','AGGRAVATED: OTHER FIREARM','AGG: HANDS/FIST/FEET SERIOUS INJURY','AGGRAVATED OF A SENIOR CITIZEN','UNLAWFUL USE OF A COMPUTER','VIOLENT OFFENDER: DUTY TO REGISTER','CHILD PORNOGRAPHY','LOST PASSPORT','VIOLENT OFFENDER: ANNUAL REGISTRATION','VIOLATION OF CIVIL NO CONTACT ORDER','ATTEMPT: ARMED-KNIFE/CUT INSTR','TAMPER WITH MOTOR VEHICLE','TO AIRPORT','VIO BAIL BOND: DOM VIOLENCE','FORFEIT PROPERTY','UNLAWFUL POSS OTHER FIREARM','THEFT BY LESSEE,MOTOR VEH','AGG PO HANDS ETC SERIOUS INJ','CHILD ABANDONMENT','ANIMAL ABUSE/NEGLECT','ARMED WHILE UNDER THE INFLUENCE','BOMB THREAT','INDECENT SOLICITATION/CHILD','UNLAWFUL INTERFERE/VISITATION','ATT AGG CRIMINAL SEXUAL ABUSE','ARSON THREAT','UNLAWFUL USE OTHER DANG WEAPON','OBSCENE MATTER','AGG PRO.EMP: OTHER DANG WEAPON',MANU/DELIVER:BARBITUATES,'POSSESSION: SYNTHETIC MARIJUANA','ATTEMPT: CYCLE, SCOOTER, BIKE W-VIN','ARSONIST: DUTY TO REGISTER','PEEPING TOM','ATTEMPT ARSON','SOLICIT FOR BUSINESS',EMBEZZLEMENT,'CRIM SEX ABUSE BY FAM MEMBER','UNLAWFUL POSS AMMUNITION','AGGRAVATED PO: HANDGUN','BOARD PLANE WITH WEAPON','MOB ACTION','SECOND DEGREE MURDER','MANU/DELIVER: METHAMPHETAMINES','ATTEMPT: AGGRAVATED','SEX RELATION IN FAMILY','OBSCENE TELEPHONE CALLS','DELIVERY CONTAINER THEFT','BY EXPLOSIVE','CAB OPERATION',MANU/DELIVER:PCP,'AGGRAVATED: KNIFE/CUT INSTR','AGGRAVATED PO: KNIFE/CUT INSTR','FORCIBLE DETENTION','AGGRAVATED PO:KNIFE/CUT INSTR','OF UNBORN CHILD','INTERFERENCE JUDICIAL PROCESS','PAY TV SERVICE OFFENSES','UNLAWFUL USE OF RECORDED SOUND','AGGRAVATED OF A UNBORN CHILD','ALTER/FORGE PRESCRIPTION','POS: HYPODERMIC NEEDLE','FALSE FIRE ALARM','UNLAWFUL USE/SALE AIR RIFLE',EXTORTION,EAVESDROPPING,'CONTRIBUTE DELINQUENCY OF A CHILD','THEFT BY LESSEE,NON-VEH','DECEPTIVE COLLECTION PRACTICES','VIOLATION OF STALKING NO CONTACT ORDER','POS: PORNOGRAPHIC PRINT','MONEY LAUNDERING',MANU/DELIVER:COCAINE,'FROM COIN-OP MACHINE/DEVICE','AGGRAVATED DOMESTIC BATTERY: HANDGUN',GAME/CARDS,'DELIVER CANNABIS TO PERSON <18','COMMERCIAL SEX ACTS','TO FIRE FIGHT.APP.EQUIP','CONTRIBUTE CRIM DELINQUENCY JUVENILE','VIOLENT OFFENDER: FAIL TO REGISTER NEW ADDRESS','FOUND PASSPORT','AGG PRO EMP HANDS SERIOUS INJ','SOLICIT FOR PROSTITUTE','INTOXICATING COMPOUNDS','DEL CONT SUBS TO PERSON <18','MANU/DELIVER: HALLUCINOGEN',KIDNAPPING,'CANNABIS PLANT','VIOLATION GPS MONITORING DEVICE','POSS: HEROIN(BLACK TAR)','INSTITUTIONAL VANDALISM','CRIMINAL DRUG CONSPIRACY',OBSCENITY,'ILLEGAL POSSESSION BY MINOR','INVOLUNTARY SERVITUDE','VIOLATION OF SMOKING BAN','NOTIFICATION OF CIVIL NO CONTACT ORDER','ILLEGAL CONSUMPTION BY MINOR','SALE/DIST OBSCENE MAT TO MINOR','ATTEMPT POSSESSION NARCOTICS','ATTEMPT AGG: HANDGUN','INDECENT SOLICITATION/ADULT','UNLAWFUL SALE HANDGUN',CYBERSTALKING,'STOLEN PROP: BUY/RECEIVE/POS.','PUBLIC DEMONSTRATION','SEX OFFENDER: PROHIBITED ZONE','MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA',IMPERSONATION,'ILLEGAL POSSESSION CASH CARD','LICENSED PREMISE','MANU/DELIVER:SYNTHETIC DRUGS','ARSONIST: ANNUAL REGISTRATION','HARBOR RUNAWAY','INTERFERE W/ HIGHER EDUCATION','ATTEMPT AGG: OTHER','SALE/DEL DRUG PARAPHERNALIA',BRIBERY,'POS: EXPLOSIVE/INCENDIARY DEV','RECKLESS HOMICIDE','SOLICIT OFF PUBLIC WAY','LIBRARY VANDALISM',MANU/DELIVER:AMPHETAMINES,'POSS: LOOK-ALIKE DRUGS','KEEP PLACE OF PROSTITUTION',ESCAPE}
@attribute Arrest {false,true}
@attribute Beat numeric
@attribute Community.Area numeric

@data
'FROM BUILDING',false,1624,15
'$500 AND UNDER',false,2413,2
'ILLEGAL USE CASH CARD',false,321,69
'OVER $500',false,1924,6
'TO CITY OF CHICAGO PROPERTY',false,1423,24
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1023,29
'POSS: HEROIN(BRN/TAN)',true,413,48
SIMPLE,false,333,43
'AGGRAVATED: HANDGUN',false,422,46
'CREDIT CARD FRAUD',false,1911,4
'DOMESTIC BATTERY SIMPLE',false,714,67
'OVER $500',false,122,32
'PUBLIC INDECENCY',true,1824,8
'CRIMINAL SEXUAL ABUSE',true,1915,3
'FORCIBLE ENTRY',false,1633,15
'DOMESTIC BATTERY SIMPLE',false,222,39
'AGGRAVATED: HANDGUN',true,825,66
'DOMESTIC BATTERY SIMPLE',false,311,40
'AGGRAVATED PO: OTHER DANG WEAP',false,531,50
'$500 AND UNDER',false,1211,24
'ATTEMPT: STRONGARM-NO WEAPON',false,1134,27
'DOMESTIC BATTERY SIMPLE',false,1032,30
'DOMESTIC BATTERY SIMPLE',false,624,44
'TO PROPERTY',false,1011,29
'DOMESTIC BATTERY SIMPLE',false,835,70
POCKET-PICKING,false,1831,8
'DOMESTIC BATTERY SIMPLE',false,1532,25
AUTOMOBILE,false,1634,15
SIMPLE,false,1234,31
'MANU/DEL:CANNABIS OVER 10 GMS',true,1133,27
'TO VEHICLE',false,931,61
'MANU/DELIVER: HEROIN (WHITE)',true,1022,29
'FORCIBLE ENTRY',false,835,70
'CONTRIBUTE DELINQUENCY OF A CHILD',false,2211,74
'STRONGARM - NO WEAPON',false,213,35
'FROM BUILDING',false,133,33
'PRO EMP HANDS NO/MIN INJURY',true,931,61
'TO PROPERTY',false,1813,7
'TO PROPERTY',false,633,44
'RETAIL THEFT',true,2012,77
'TO PROPERTY',false,2011,2
'POSS: HEROIN(WHITE)',true,313,42
'DOMESTIC BATTERY SIMPLE',false,824,63
'FINANCIAL IDENTITY THEFT OVER $ 300',false,314,42
'FINANCIAL IDENTITY THEFT OVER $ 300',false,823,66
'FORCIBLE ENTRY',true,1624,15
'OVER $500',false,725,67
'TO LAND',true,2222,73
'CHILD ABUSE',true,2411,2
'DOMESTIC BATTERY SIMPLE',false,823,66
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1924,6
'FORCIBLE ENTRY',false,1623,15
'FROM BUILDING',false,1831,8
'RETAIL THEFT',false,833,65
'OVER $500',false,814,56
'TO VEHICLE',false,2514,19
'HARASSMENT BY ELECTRONIC MEANS',false,1222,27
'RETAIL THEFT',true,112,32
'$500 AND UNDER',false,132,33
'DOMESTIC BATTERY SIMPLE',false,832,66
'ILLEGAL USE CASH CARD',false,1651,76
'DOMESTIC BATTERY SIMPLE',false,412,48
'TO VEHICLE',false,2412,2
'FROM BUILDING',false,123,32
'UNLAWFUL POSS OF HANDGUN',true,1414,22
'TELEPHONE THREAT',false,414,43
AUTOMOBILE,false,1611,9
'FINANCIAL IDENTITY THEFT OVER $ 300',false,433,52
'RETAIL THEFT',true,112,32
'THEFT/RECOVERY: AUTOMOBILE',false,513,49
'AGGRAVATED: OTHER',true,1834,8
'STRONGARM - NO WEAPON',false,1434,22
'DOMESTIC BATTERY SIMPLE',false,712,68
'POSS: HEROIN(WHITE)',true,1124,27
AUTOMOBILE,false,2411,2
'AGG PO HANDS NO/MIN INJURY',true,1533,25
'CRIMINAL DEFACEMENT',false,511,49
'MANU/DEL:CANNABIS OVER 10 GMS',true,712,68
'ARMED: HANDGUN',false,1014,29
'HARASSMENT BY ELECTRONIC MEANS',false,2411,2
'RETAIL THEFT',true,1531,25
'DOMESTIC BATTERY SIMPLE',true,835,70
'VIOLATE ORDER OF PROTECTION',false,1421,22
'DOMESTIC BATTERY SIMPLE',false,1733,16
POCKET-PICKING,false,1833,8
'HARASSMENT BY TELEPHONE',false,523,53
'RETAIL THEFT',false,114,32
'DOMESTIC BATTERY SIMPLE',true,714,67
'UNLAWFUL ENTRY',false,831,66
'$500 AND UNDER',false,333,43
'TO PROPERTY',false,2212,75
'TO VEHICLE',false,1033,30
'TO PROPERTY',false,922,58
'OVER $500',false,1214,24
'FOUND SUSPECT NARCOTICS',true,1021,29
'TO PROPERTY',false,2232,49
'VEHICLE TITLE/REG OFFENSE',true,634,49
SIMPLE,true,611,71
'CREDIT CARD FRAUD',false,731,69
'DOMESTIC BATTERY SIMPLE',false,2213,73
'FINANCIAL IDENTITY THEFT OVER $ 300',false,833,70
'VEHICLE TITLE/REG OFFENSE',true,434,51
'DOMESTIC BATTERY SIMPLE',true,434,51
'UNLAWFUL POSS OF HANDGUN',true,1033,30
'$500 AND UNDER',false,114,32
'$500 AND UNDER',false,1711,13
'POSS: CRACK',true,1122,26
'DOMESTIC BATTERY SIMPLE',true,1522,25
'VIOLATE ORDER OF PROTECTION',false,834,70
'HARASSMENT BY TELEPHONE',false,1413,22
'FINANCIAL IDENTITY THEFT OVER $ 300',false,811,56
'TO PROPERTY',true,2531,25
'HARASSMENT BY ELECTRONIC MEANS',false,333,43
'AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY',false,522,49
'TO LAND',false,1724,16
'THEFT OF LABOR/SERVICES',false,1914,3
'TO PROPERTY',false,231,40
'UNLAWFUL ENTRY',false,1524,25
'BOMB THREAT',false,1424,24
SIMPLE,false,1712,14
'TO PROPERTY',false,634,49
SIMPLE,false,1732,21
SIMPLE,false,1831,8
'OVER $500',false,825,66
'TO PROPERTY',false,1014,29
'OTHER VEHICLE OFFENSE',false,1133,26
'ARMED: HANDGUN',false,2535,22
'DOMESTIC BATTERY SIMPLE',false,1511,25
AUTOMOBILE,true,723,68
'AGG PO HANDS NO/MIN INJURY',true,1022,29
SIMPLE,true,332,43
'TO RESIDENCE',false,632,44
'VEHICLE TITLE/REG OFFENSE',true,613,71
SIMPLE,true,1431,22
'CHILD ABUSE',false,1031,30
'DOMESTIC BATTERY SIMPLE',false,414,43
'OVER $500',false,2513,25
'TO LAND',true,533,54
'TO VEHICLE',false,925,37
SIMPLE,false,1631,17
'TO RESIDENCE',true,835,70
'FROM BUILDING',false,1834,8
'TELEPHONE THREAT',false,533,54
'$500 AND UNDER',true,623,69
NON-AGGRAVATED,false,1834,8
'POSS: HEROIN(WHITE)',true,1121,23
'OVER $500',false,1431,22
'OBSTRUCTING IDENTIFICATION',true,2031,4
AUTOMOBILE,false,422,46
'DOMESTIC BATTERY SIMPLE',false,824,63
'$500 AND UNDER',false,2534,23
'ATTEMPT FORCIBLE ENTRY',false,632,44
AUTOMOBILE,false,1214,28
'FROM BUILDING',false,1924,6
'FROM BUILDING',false,631,44
'CREDIT CARD FRAUD',false,1434,24
'FINANCIAL IDENTITY THEFT OVER $ 300',false,1113,25
'UNLAWFUL ENTRY',false,711,68
'TO RESIDENCE',false,1612,10
'STRONGARM - NO WEAPON',false,1133,26
'$500 AND UNDER',false,1922,5
'$500 AND UNDER',true,1834,8
'CREDIT CARD FRAUD',false,832,66
AUTOMOBILE,false,1422,23
AUTOMOBILE,false,822,63
'MANU/DEL:CANNABIS OVER 10 GMS',true,1133,26
'TO VEHICLE',false,313,42
'AGGRAVATED: OTHER DANG WEAPON',false,524,53
'TO VEHICLE',false,1712,14
'DOMESTIC BATTERY SIMPLE',false,1431,22
'OVER $500',false,234,41
SIMPLE,false,533,54
AUTOMOBILE,false,1713,14
'STRONGARM - NO WEAPON',false,1121,23
'PRO EMP HANDS NO/MIN INJURY',true,533,54
'AGG: HANDS/FIST/FEET NO/MINOR INJURY',false,835,70
'CREDIT CARD FRAUD',false,1624,15
'DOMESTIC BATTERY SIMPLE',true,312,42
'OVER $500',false,1432,22
SIMPLE,false,1914,3
'DOMESTIC BATTERY SIMPLE',false,624,69
SIMPLE,false,1225,28
'TO LAND',true,123,32
'THEFT BY LESSEE,MOTOR VEH',false,332,43
'FIRST DEGREE MURDER',false,733,68
SIMPLE,false,1524,25
'TO VEHICLE',false,421,43
'$500 AND UNDER',false,832,66
'$500 AND UNDER',false,835,66
AUTOMOBILE,false,813,64
'DOMESTIC BATTERY SIMPLE',false,1125,28
'DOMESTIC BATTERY SIMPLE',false,1533,25
AUTOMOBILE,false,223,39
'FROM BUILDING',false,632,44
AGGRAVATED,false,1411,21
'$500 AND UNDER',false,1623,15
'TO VEHICLE',true,1022,29
'TELEPHONE THREAT',false,1633,17
'VIOLATE ORDER OF PROTECTION',false,2011,2
'ATTEMPT FORCIBLE ENTRY',false,1224,28
'STRONGARM - NO WEAPON',false,1212,24
'$500 AND UNDER',true,1233,28
SIMPLE,false,2532,25
'OVER $500',false,1612,10
'TO VEHICLE',false,1724,16
'TO LAND',false,114,32
'LICENSE VIOLATION',false,2011,2
'TO STATE SUP PROP',false,1823,8
SIMPLE,true,715,67
'TO PROPERTY',false,613,71
'TO PROPERTY',false,1633,15
'TO PROPERTY',true,1925,6
'RECKLESS CONDUCT',true,1914,3
POCKET-PICKING,false,1732,16
'ARMED: HANDGUN',false,2514,19
SIMPLE,false,424,46
'FROM BUILDING',false,1832,8
'TO PROPERTY',false,2533,25
AUTOMOBILE,false,2431,1
'RETAIL THEFT',false,632,44
'ARMED: HANDGUN',false,324,43
'HARASSMENT BY ELECTRONIC MEANS',false,824,66
'OTHER OFFENSE',false,1214,24
'RETAIL THEFT',true,621,71
AUTOMOBILE,false,1633,15
SIMPLE,false,1813,7
'DOMESTIC BATTERY SIMPLE',true,432,52
'$500 AND UNDER',false,1214,24
'FINANCIAL IDENTITY THEFT $300 AND UNDER',false,811,56
SIMPLE,false,2513,25
'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON',true,731,69
'TO VEHICLE',false,1013,30
'AGGRAVATED: HANDGUN',false,2413,2
SIMPLE,false,1911,4
'DOMESTIC BATTERY SIMPLE',false,334,43
'FINANCIAL IDENTITY THEFT OVER $ 300',false,2424,1
'UNLAWFUL POSS AMMUNITION',true,334,43
'DOMESTIC BATTERY SIMPLE',false,1133,29
'POSS: HEROIN(WHITE)',true,1522,25
'OVER $500',false,725,67
'POSS: PCP',true,1011,29
'AGGRAVATED:KNIFE/CUTTING INSTR',false,1522,25
'$500 AND UNDER',false,2011,4
POCKET-PICKING,false,614,71
'$500 AND UNDER',false,1122,23
SIMPLE,false,1211,24
'RECKLESS CONDUCT',true,2534,20
'POSS: CRACK',true,1135,29
'DOMESTIC BATTERY SIMPLE',false,312,42
'OVER $500',false,1813,7
'$500 AND UNDER',false,232,40
'ATTEMPT: ARMED-OTHER DANG WEAP',false,122,32
'FORCIBLE ENTRY',false,1933,6
'LIQUOR LICENSE VIOLATION',true,1222,27
'HARASSMENT BY TELEPHONE',false,624,44
MANU/DELIVER:CRACK,true,1131,26
'AGGRAVATED: HANDGUN',true,613,71
'TO RESIDENCE',false,811,56
'FINANCIAL IDENTITY THEFT OVER $ 300',false,112,32
'OVER $500',false,1224,28
AGGRAVATED,false,726,67
'TO PROPERTY',false,1633,15
'TO LAND',true,1831,8
EXTORTION,false,1424,24
'TELEPHONE THREAT',false,214,36
'TO RESIDENCE',true,532,53
SIMPLE,false,1911,5
'DOMESTIC BATTERY SIMPLE',false,413,47
'TO LAND',true,832,66
SIMPLE,true,124,28
'$500 AND UNDER',false,1235,31
'RETAIL THEFT',false,2213,73
'$500 AND UNDER',false,2223,73
'OVER $500',false,215,38
'TO RESIDENCE',true,1533,25
'TO VEHICLE',false,212,35
SIMPLE,false,631,44
'DOMESTIC BATTERY SIMPLE',false,832,66
'AGGRAVATED:KNIFE/CUTTING INSTR',false,612,71
'FINANCIAL IDENTITY THEFT OVER $ 300',false,233,41
'FORCIBLE ENTRY',false,633,49
'FORCIBLE ENTRY',false,724,68
'UNLAWFUL ENTRY',false,633,49
SIMPLE,false,111,32
'THEFT/RECOVERY: AUTOMOBILE',false,1215,24
'FORCIBLE ENTRY',false,614,71
'HARASSMENT BY TELEPHONE',false,1923,6
'DOMESTIC BATTERY SIMPLE',false,1211,24
'FROM BUILDING',false,122,32
'RETAIL THEFT',true,212,35
'FROM BUILDING',false,424,46
'UNLAWFUL POSS OF HANDGUN',true,523,53
'POSS: HEROIN(BRN/TAN)',true,1014,29
'OVER $500',false,532,53
SIMPLE,true,1531,25
'TO VEHICLE',false,822,63
'AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST',false,224,38
'HARASSMENT BY TELEPHONE',false,1011,29
'OVER $500',false,1814,7
'TO RESIDENCE',false,1931,5
'ILLEGAL USE CASH CARD',false,2212,72
'DOMESTIC BATTERY SIMPLE',false,2523,20
'FROM BUILDING',false,1412,21
SIMPLE,false,1832,8
'OVER $500',false,533,54
'RETAIL THEFT',true,1621,12
'OVER $500',false,1215,24
'AGGRAVATED: OTHER DANG WEAPON',true,1014,29
'POSS: HEROIN(WHITE)',true,1832,8
'DOMESTIC BATTERY SIMPLE',false,1634,15
'TO VEHICLE',false,632,44
'TO VEHICLE',false,1434,22
'CHILD ABUSE',false,314,42
'OTHER VEHICLE OFFENSE',false,711,68
'TO PROPERTY',false,421,43
'FORCIBLE ENTRY',false,2432,1
'UNLAWFUL POSS OF HANDGUN',true,533,54
'TO VEHICLE',false,334,43
SIMPLE,false,1115,26
'RETAIL THEFT',true,212,35
AUTOMOBILE,false,1213,24
'TO VEHICLE',false,512,49
'ATTEMPT THEFT',false,1712,14
'UNLAWFUL SALE HANDGUN',true,1134,27
'FALSE/STOLEN/ALTERED TRP',true,512,49
'TO PROPERTY',false,2234,75
'OVER $500',false,1831,8
'$500 AND UNDER',false,2431,1
'OVER $500',false,111,32
'OVER $500',false,1424,24
'TO PROPERTY',true,2535,23
'FORCIBLE ENTRY',false,121,28
'$500 AND UNDER',false,1711,12
'HARASSMENT BY TELEPHONE',false,1213,24
'FORCIBLE ENTRY',false,911,58
'OBSTRUCTING IDENTIFICATION',true,933,61
SIMPLE,true,2424,1
'OVER $500',false,1214,24
'TELEPHONE THREAT',false,421,43
'AGGRAVATED: OTHER DANG WEAPON',true,913,60
'UNLAWFUL POSS OF HANDGUN',false,431,51
'DOMESTIC BATTERY SIMPLE',false,1123,27
'DOMESTIC BATTERY SIMPLE',false,1723,16
'$500 AND UNDER',false,1013,30
SIMPLE,false,233,40
'DOMESTIC BATTERY SIMPLE',false,331,43
'OVER $500',false,1831,8
'MANU/DEL:CANNABIS OVER 10 GMS',true,1112,23
'TO VEHICLE',false,1533,25
'AGGRAVATED: OTHER DANG WEAPON',false,2512,18
'COUNTERFEITING DOCUMENT',false,2512,18
'FROM BUILDING',false,411,45
SIMPLE,false,2413,2
'AGGRAVATED:KNIFE/CUTTING INSTR',true,1622,11
SIMPLE,false,314,42
'ARMED:KNIFE/CUTTING INSTRUMENT',true,923,63
'FIRST DEGREE MURDER',true,334,43
'$500 AND UNDER',false,623,69
'OVER $500',false,1814,7
'$500 AND UNDER',false,314,42
'DOMESTIC BATTERY SIMPLE',true,631,44
AUTOMOBILE,false,1414,22
'$500 AND UNDER',false,1014,29
'TO CITY OF CHICAGO PROPERTY',false,2212,75
'TELEPHONE THREAT',false,1915,3
'TO VEHICLE',false,522,49
'FORCIBLE ENTRY',false,2422,1
'$500 AND UNDER',false,1214,28
'DOMESTIC BATTERY SIMPLE',false,1821,8
'$500 AND UNDER',false,2522,19
'AGGRAVATED: OTHER DANG WEAPON',false,1131,25
'CREDIT CARD FRAUD',false,2213,73
'TO LAND',true,433,52
'ILLEGAL USE CASH CARD',false,432,52
'AGGRAVATED: HANDGUN',false,2515,19
'TO VEHICLE',false,1223,28
'FROM BUILDING',false,111,32
SIMPLE,true,725,67
'THEFT OF LOST/MISLAID PROP',true,1011,29
'ATTEMPT: ARMED-HANDGUN',false,524,53
POCKET-PICKING,false,1834,8
'RETAIL THEFT',true,1831,8
'FORCIBLE ENTRY',false,532,53
'FOUND SUSPECT NARCOTICS',true,1613,10
POCKET-PICKING,false,1631,17
'TO VEHICLE',false,1934,6
'OVER $500',false,2534,20
'FROM BUILDING',false,112,32
'$500 AND UNDER',false,624,69
'OVER $500',false,713,67
'CRIMINAL DEFACEMENT',false,2422,1
'$500 AND UNDER',false,1711,13
'UNLAWFUL ENTRY',false,313,42
'FROM BUILDING',false,424,46
'OVER $500',false,914,34
SIMPLE,false,1225,28
'$500 AND UNDER',false,1913,3
POCKET-PICKING,false,1833,8
'$500 AND UNDER',false,1834,8
SIMPLE,false,1434,22
'HARASSMENT BY TELEPHONE',false,832,66
SIMPLE,false,1631,17
'RETAIL THEFT',true,333,43
SIMPLE,false,1231,28
'DOMESTIC BATTERY SIMPLE',false,2512,18
'CREDIT CARD FRAUD',false,1834,8
'VIOLATE ORDER OF PROTECTION',true,933,61
'DOMESTIC BATTERY SIMPLE',false,334,43
'TO VEHICLE',false,1224,28
'OBSTRUCTING SERVICE',true,2223,71
SIMPLE,false,1935,7
'$500 AND UNDER',false,612,71
'TO VEHICLE',false,124,28
'$500 AND UNDER',false,1411,21
'HARASSMENT BY ELECTRONIC MEANS',false,912,59
'OVER $500',false,1215,24
'FINANCIAL IDENTITY THEFT OVER $ 300',false,234,41
PURSE-SNATCHING,false,114,32
'DOMESTIC BATTERY SIMPLE',true,1115,26
'POSS: CANNABIS MORE THAN 30GMS',true,1021,29
'TELEPHONE THREAT',false,222,39
SIMPLE,false,2213,72
'$500 AND UNDER',false,631,44
